PC=00000000, SP=08049596, A=008172d0, B=0804958cldc 00000000
PC=00000001, SP=08049596, A=00000000, B=008172d0a2sp 
PC=00000002, SP=00000000, A=008172d0, B=008172d0adj ffffffff
PC=00000003, SP=ffffffff, A=008172d0, B=008172d0ldc 0000004b
PC=00000004, SP=ffffffff, A=0000004b, B=008172d0stl 00000000
PC=00000005, SP=ffffffff, A=008172d0, B=008172d0ldc 0000004a
PC=00000006, SP=ffffffff, A=0000004a, B=008172d0ldnl 00000000
PC=00000007, SP=ffffffff, A=0000000a, B=008172d0call 00000002
PC=0000000a, SP=ffffffff, A=00000008, B=0000000aadj fffffffd
PC=0000000b, SP=fffffffc, A=00000008, B=0000000astl 00000001
PC=0000000c, SP=fffffffc, A=0000000a, B=0000000astl 00000002
PC=0000000d, SP=fffffffc, A=0000000a, B=0000000aldc 00000000
PC=0000000e, SP=fffffffc, A=00000000, B=0000000astl 00000000
PC=0000000f, SP=fffffffc, A=0000000a, B=0000000aadj ffffffff
PC=00000010, SP=fffffffb, A=0000000a, B=0000000aldl 00000003
PC=00000011, SP=fffffffb, A=0000000a, B=0000000astl 00000000
PC=00000012, SP=fffffffb, A=0000000a, B=0000000aldl 00000001
PC=00000013, SP=fffffffb, A=00000000, B=0000000acall 00000010
PC=00000024, SP=fffffffb, A=00000014, B=00000000adj fffffffd
PC=00000025, SP=fffffff8, A=00000014, B=00000000stl 00000001
PC=00000026, SP=fffffff8, A=00000000, B=00000000stl 00000002
PC=00000027, SP=fffffff8, A=00000000, B=00000000ldc 00000001
PC=00000028, SP=fffffff8, A=00000001, B=00000000shl 
PC=00000029, SP=fffffff8, A=00000000, B=00000000ldl 00000003
PC=0000002a, SP=fffffff8, A=0000000a, B=00000000sub 
PC=0000002b, SP=fffffff8, A=fffffff6, B=00000000brlz 00000004
PC=00000030, SP=fffffff8, A=fffffff6, B=00000000ldl 00000002
PC=00000031, SP=fffffff8, A=00000000, B=fffffff6brz 00000014
PC=00000046, SP=fffffff8, A=00000000, B=fffffff6ldc 00000001
PC=00000047, SP=fffffff8, A=00000001, B=00000000ldl 00000001
PC=00000048, SP=fffffff8, A=00000014, B=00000001adj 00000003
PC=00000049, SP=fffffffb, A=00000014, B=00000001return 
PC=00000014, SP=fffffffb, A=00000001, B=00000001adj 00000001
PC=00000015, SP=fffffffc, A=00000001, B=00000001ldl 00000003
PC=00000016, SP=fffffffc, A=0000004b, B=00000001stnl 00000000
PC=00000017, SP=fffffffc, A=0000004b, B=00000001ldl 00000003
PC=00000018, SP=fffffffc, A=0000004b, B=0000004badc 00000001
PC=00000019, SP=fffffffc, A=0000004c, B=0000004bstl 00000003
PC=0000001a, SP=fffffffc, A=0000004b, B=0000004bldl 00000000
PC=0000001b, SP=fffffffc, A=00000000, B=0000004badc 00000001
PC=0000001c, SP=fffffffc, A=00000001, B=0000004bstl 00000000
PC=0000001d, SP=fffffffc, A=0000004b, B=0000004bldl 00000000
PC=0000001e, SP=fffffffc, A=00000001, B=0000004bldl 00000002
PC=0000001f, SP=fffffffc, A=0000000a, B=00000001sub 
PC=00000020, SP=fffffffc, A=fffffff7, B=00000001brlz ffffffee
PC=0000000f, SP=fffffffc, A=fffffff7, B=00000001adj ffffffff
PC=00000010, SP=fffffffb, A=fffffff7, B=00000001ldl 00000003
PC=00000011, SP=fffffffb, A=0000000a, B=fffffff7stl 00000000
PC=00000012, SP=fffffffb, A=fffffff7, B=fffffff7ldl 00000001
PC=00000013, SP=fffffffb, A=00000001, B=fffffff7call 00000010
PC=00000024, SP=fffffffb, A=00000014, B=00000001adj fffffffd
PC=00000025, SP=fffffff8, A=00000014, B=00000001stl 00000001
PC=00000026, SP=fffffff8, A=00000001, B=00000001stl 00000002
PC=00000027, SP=fffffff8, A=00000001, B=00000001ldc 00000001
PC=00000028, SP=fffffff8, A=00000001, B=00000001shl 
PC=00000029, SP=fffffff8, A=00000002, B=00000001ldl 00000003
PC=0000002a, SP=fffffff8, A=0000000a, B=00000002sub 
PC=0000002b, SP=fffffff8, A=fffffff8, B=00000002brlz 00000004
PC=00000030, SP=fffffff8, A=fffffff8, B=00000002ldl 00000002
PC=00000031, SP=fffffff8, A=00000001, B=fffffff8brz 00000014
PC=00000032, SP=fffffff8, A=00000001, B=fffffff8ldl 00000003
PC=00000033, SP=fffffff8, A=0000000a, B=00000001adc ffffffff
PC=00000034, SP=fffffff8, A=00000009, B=00000001stl 00000000
PC=00000035, SP=fffffff8, A=00000001, B=00000001adj ffffffff
PC=00000036, SP=fffffff7, A=00000001, B=00000001ldl 00000001
PC=00000037, SP=fffffff7, A=00000009, B=00000001stl 00000000
PC=00000038, SP=fffffff7, A=00000001, B=00000001ldl 00000003
PC=00000039, SP=fffffff7, A=00000001, B=00000001adc ffffffff
PC=0000003a, SP=fffffff7, A=00000000, B=00000001call ffffffe9
PC=00000024, SP=fffffff7, A=0000003b, B=00000000adj fffffffd
PC=00000025, SP=fffffff4, A=0000003b, B=00000000stl 00000001
PC=00000026, SP=fffffff4, A=00000000, B=00000000stl 00000002
PC=00000027, SP=fffffff4, A=00000000, B=00000000ldc 00000001
PC=00000028, SP=fffffff4, A=00000001, B=00000000shl 
PC=00000029, SP=fffffff4, A=00000000, B=00000000ldl 00000003
PC=0000002a, SP=fffffff4, A=00000009, B=00000000sub 
PC=0000002b, SP=fffffff4, A=fffffff7, B=00000000brlz 00000004
PC=00000030, SP=fffffff4, A=fffffff7, B=00000000ldl 00000002
PC=00000031, SP=fffffff4, A=00000000, B=fffffff7brz 00000014
PC=00000046, SP=fffffff4, A=00000000, B=fffffff7ldc 00000001
PC=00000047, SP=fffffff4, A=00000001, B=00000000ldl 00000001
PC=00000048, SP=fffffff4, A=0000003b, B=00000001adj 00000003
PC=00000049, SP=fffffff7, A=0000003b, B=00000001return 
PC=0000003b, SP=fffffff7, A=00000001, B=00000001ldl 00000001
PC=0000003c, SP=fffffff7, A=00000009, B=00000001stl 00000000
PC=0000003d, SP=fffffff7, A=00000001, B=00000001stl 00000001
PC=0000003e, SP=fffffff7, A=00000001, B=00000001ldl 00000003
PC=0000003f, SP=fffffff7, A=00000001, B=00000001call ffffffe4
PC=00000024, SP=fffffff7, A=00000040, B=00000001adj fffffffd
PC=00000025, SP=fffffff4, A=00000040, B=00000001stl 00000001
PC=00000026, SP=fffffff4, A=00000001, B=00000001stl 00000002
PC=00000027, SP=fffffff4, A=00000001, B=00000001ldc 00000001
