PC=00000000, SP=08049596, A=008172d0, B=0804958cadj 00000000
PC=00000001, SP=08049596, A=008172d0, B=0804958cbrz 00000000
PC=00000002, SP=08049596, A=008172d0, B=0804958cSET 00000000
PC=00000003, SP=08049596, A=008172d0, B=0804958cldc 00000000
PC=00000004, SP=08049596, A=00000000, B=008172d0ldnl 00000000
PC=00000005, SP=08049596, A=0000000a, B=008172d0ldc 00000001
PC=00000006, SP=08049596, A=00000001, B=0000000aldnl 00000000
PC=00000007, SP=08049596, A=0000000f, B=0000000aadd 
PC=00000008, SP=08049596, A=00000019, B=0000000aldc 00000002
PC=00000009, SP=08049596, A=00000002, B=00000019ldnl 00000000
PC=0000000a, SP=08049596, A=00000014, B=00000019add 
PC=0000000b, SP=08049596, A=0000002d, B=00000019stl 00000000
PC=0000000c, SP=08049596, A=00000019, B=00000019HALT 
